,name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365
8653,Charming Room on Prime SoHo Block,Philip,Manhattan,SoHo,40.72576,-74.00265999999999,Private room,80,1,131,2019-06-24,1,20
8654,So nice and close to everything.,Jose,Manhattan,Hell's Kitchen,40.75584,-73.99559,Entire home/apt,200,3,2,2018-05-13,2,0
8655,Luxury Condo near Columbia Univ and Central Park,Alex,Manhattan,Harlem,40.80536,-73.95434,Entire home/apt,150,1,4,2018-12-28,1,0
8656,Stylish & Cozy Room Same Street As The Subway,Marcelo,Brooklyn,Bedford-Stuyvesant,40.67803,-73.9102,Private room,75,1,17,2019-06-16,4,227
8657,"Coolest neighborhood, cutest apartment.",China,Manhattan,Two Bridges,40.7116,-73.99568000000001,Entire home/apt,175,2,8,2019-05-06,1,0
8658,Cozy studio in East New York,L,Brooklyn,East New York,40.67695,-73.87402,Entire home/apt,62,1,11,2019-06-22,1,351
8659,Artistic NEW LOFT 4 br/2 bath in Times Sq,One,Manhattan,Hell's Kitchen,40.76268,-73.99235,Entire home/apt,800,3,59,2019-06-23,1,263
8660,Cute 1 BD (can sleep up to 4) in the gorg UWS!,Mel And Laurie,Manhattan,Upper West Side,40.79671,-73.9712,Entire home/apt,145,3,4,2017-01-01,1,0
8661,Big & Bright in BK Heights with Private Balcony,Annie,Brooklyn,Brooklyn Heights,40.69449,-73.99188000000001,Entire home/apt,150,3,7,2016-07-15,1,0
8662,One bedroom in Kips Bay / Murray Hill area,Eddie,Manhattan,Midtown,40.74559,-73.98216,Entire home/apt,259,7,0,,1,0
8663,2-bedroom South Williamsburg apartment,Mark,Brooklyn,Williamsburg,40.69999,-73.95275,Entire home/apt,100,4,4,2019-06-24,1,0
8664,Greenwich / West Village 2 Bedroom,Courtney,Manhattan,West Village,40.73066,-74.00371,Entire home/apt,175,1,0,,2,0
8665,Spacious Studio apt—1 Subway stop from Manhattan,Lucia,Bronx,Mott Haven,40.8115,-73.9258,Entire home/apt,80,7,0,,2,0
8666,Clean and Cozy Crown Heights Studio,Albert,Brooklyn,Crown Heights,40.66714,-73.95819,Entire home/apt,110,2,6,2018-06-24,1,0
8667,Luxury STUDIO * PVT Entrance * WOW,Nissim,Manhattan,Upper East Side,40.77654,-73.94904,Entire home/apt,165,1,141,2019-06-23,1,262
8668,Big Brooklyn bedroom near subway/Prospect Park,Joe,Brooklyn,Prospect-Lefferts Gardens,40.66275,-73.96122,Private room,65,10,94,2017-08-22,2,0
8669,THE RESIDENCES BY HILTON CLUB (Penthouse Suite),Marilynn,Manhattan,Midtown,40.76287,-73.98073000000001,Private room,699,2,0,,1,365
8670,Upper West Side Family Escape,Rebecka,Manhattan,Upper West Side,40.79527,-73.96695,Entire home/apt,165,5,5,2016-04-14,1,0
8671,"Come see Brooklyn, New York",Howard T.,Brooklyn,Clinton Hill,40.69172,-73.96934,Shared room,40,5,8,2015-02-25,1,0
8672,Charming 2 Bedroom (Converted) Loft -Wall St for 5,Jonathan,Manhattan,Financial District,40.70567,-74.00565999999999,Entire home/apt,265,1,2,2019-06-24,1,246
8673,Convenient & cozy classic NYC apartment,Corey,Manhattan,Upper East Side,40.77541,-73.95083000000001,Entire home/apt,98,12,12,2017-11-12,1,0
8674,Gorgeous Large private room near LGA (#5),Ajmol,Queens,East Elmhurst,40.76444,-73.87238,Private room,90,1,7,2019-06-27,5,73
8675,CHARMING 1-BD w CITY VIEWS,LeeAnne,Manhattan,Hell's Kitchen,40.76612,-73.99324,Entire home/apt,125,5,5,2015-08-24,1,0
8676,ONE STOP TO TIME SQUARE BEAUTIFUL QUIET STUDIO,Natalya,Manhattan,Murray Hill,40.747690000000006,-73.9784,Entire home/apt,160,1,141,2019-06-24,1,90
8677,Cozy bedroom minutes to Manhattan,Dafni,Queens,Astoria,40.76837,-73.92712,Private room,45,2,4,2019-06-29,3,31
8678,Charming XL 1br in Astoria,David,Queens,Astoria,40.77221,-73.92493,Entire home/apt,200,5,22,2018-05-17,1,188
8679,Extra Large 1BR by Park Ave in Upper East Side,Tny,Manhattan,Upper East Side,40.76876,-73.96686,Entire home/apt,197,30,0,,12,58
8680,2 bed / 2.5 bath with outdoor space,Michael,Brooklyn,Crown Heights,40.67742,-73.93737,Entire home/apt,250,7,0,,1,0
8681,Meserole Street,Thoralf,Brooklyn,Williamsburg,40.70827,-73.9425,Private room,63,4,0,,1,187
8682,Cozy East Village Studio Apartment,Jessica,Manhattan,East Village,40.72547,-73.98315,Entire home/apt,150,2,2,2017-09-26,1,0
8683,A neat bedroom in a cozy 3-bedroom apartment,Ester,Manhattan,Roosevelt Island,40.76127,-73.95034,Private room,90,1,46,2019-07-01,1,27
8684,"LUXURY entire apt, steps to Central Park",Michael,Manhattan,Upper West Side,40.77607,-73.98035,Entire home/apt,419,2,10,2019-04-21,1,10
8685,You take living or bedroom!,Alfred,Queens,Richmond Hill,40.7017,-73.82316,Shared room,60,7,0,,1,362
8686,AMAZING ONE MONTH SUBLET IN WILLIAMSBURG!!!,Yaron,Brooklyn,Williamsburg,40.71771,-73.95831,Private room,99,3,2,2019-06-09,2,179
8687,Stay in the heart of Williamsburg!,Amanda,Brooklyn,Williamsburg,40.717220000000005,-73.95862,Entire home/apt,150,2,4,2015-11-16,1,0
8688,Luxurious 2-Story Home • Large Terrace • Views,Sarah,Brooklyn,Prospect-Lefferts Gardens,40.65465,-73.96158,Entire home/apt,225,2,32,2019-05-31,1,56
8689,Trendy Private Room in Midtown West,Gio,Manhattan,Hell's Kitchen,40.76002,-73.98958,Private room,129,1,97,2019-06-22,3,132
8690,"Luxury Room (rm4), 5 mins from Columbia",Eugene,Manhattan,Morningside Heights,40.81193,-73.95945999999999,Private room,110,3,58,2019-06-22,6,129
8691,"Spacious, Airy, Private Bedroom",Celia,Manhattan,Washington Heights,40.83495,-73.94406,Private room,87,4,34,2019-06-28,1,31
8692,Small Private Room in Upper East Side #5,Shai,Manhattan,Upper East Side,40.78307,-73.94578,Private room,69,4,0,,9,17
8693,Mott Haven Dorm-Bed H,Rem,Bronx,Port Morris,40.80856,-73.93055,Shared room,28,1,4,2019-06-22,7,71
8694,Beautiful 2BR Upper West Side,Matthew,Manhattan,Morningside Heights,40.8063,-73.96268,Entire home/apt,150,7,2,2016-08-11,1,0
8695,nice room in bedstuy H,Randy,Brooklyn,Bedford-Stuyvesant,40.6824,-73.95039,Private room,55,1,127,2019-06-14,15,318
8696,Unique 3BR Triplex in Brooklyn,Matthieu,Brooklyn,Fort Greene,40.68996,-73.97855,Entire home/apt,450,3,82,2019-07-01,1,258
8697,ONLY WOMEN/CAMAS PARA MUJER/HABITACIÓN COMPARTIDA,Jess & Ana,Queens,Corona,40.74116,-73.86667,Shared room,24,1,4,2019-05-04,8,346
8698,"Beautiful, rustic room in artistic apt.",Jordan,Brooklyn,Crown Heights,40.67763,-73.95943,Private room,65,1,5,2016-06-20,1,0
8699,"Entire 2BR apartment, your home away from home",Fengxiang,Staten Island,Graniteville,40.62301,-74.16558,Entire home/apt,71,4,7,2019-06-01,1,0
8700,Cleo's Royale,Adeola,Manhattan,Inwood,40.86058,-73.9274,Private room,70,5,5,2019-05-24,2,90
8701,Private Bathroom Bedroom Near Subway,Mei,Brooklyn,Bath Beach,40.60471,-74.00243,Private room,59,2,0,,2,361
8702,One-Off Easter Holiday Deal in Cozy Gem,Cj,Brooklyn,Prospect-Lefferts Gardens,40.6589,-73.94975,Entire home/apt,120,4,0,,1,0
8703,Soho Comfort,Javier,Manhattan,SoHo,40.72236,-74.00255,Entire home/apt,125,3,1,2019-07-03,1,77
8704,"Bright, spacious, ensuite bedroom in Williamsburg",Vanessa,Brooklyn,Williamsburg,40.71779,-73.94632,Private room,101,1,5,2019-06-08,1,90
8705,Bright 2- Room apartment in a house next to train.,Olga,Staten Island,Arden Heights,40.54312,-74.17388000000001,Private room,41,2,7,2019-01-08,1,0
8706,Spacious Queen Room close to Prospect Park,Sydney,Brooklyn,Flatbush,40.65275,-73.95456999999999,Private room,50,10,8,2018-10-10,5,153
8707,LUX Blg-Prime Area! Lg PRIVATE RM & BATH w/VIEWS!,Sonia,Manhattan,Hell's Kitchen,40.761590000000005,-73.99824,Private room,69,2,22,2019-03-20,2,7
8708,Sonder | 116 John | Pleasant 1BR + Gym,Sonder,Manhattan,Financial District,40.70776,-74.00477,Entire home/apt,174,29,0,,96,313
8709,"Near Manhatten, NEW Empire Outlets, park!",Anna,Staten Island,Tompkinsville,40.63132,-74.08799,Private room,47,1,20,2016-11-06,1,323
8710,Cozy accommodation in Queens for MAX 2 people,Haruhisa,Queens,Elmhurst,40.74316,-73.87285,Private room,40,29,2,2019-03-03,5,1
8711,Master room w/terrace/private bath near Mall queen,Fone,Queens,Elmhurst,40.73612,-73.87822,Private room,55,3,10,2018-07-28,3,0
8712,Massive Beautiful Room!,Anthony,Brooklyn,Crown Heights,40.67023,-73.94078,Private room,57,1,82,2019-07-05,5,356
8713,BEST BET IN HARLEM,Earl,Manhattan,Harlem,40.81175,-73.94478000000001,Entire home/apt,150,7,97,2019-06-13,1,309
8714,Lovely Inwood Studio,Melissa,Manhattan,Inwood,40.85911,-73.928,Entire home/apt,85,3,3,2016-07-04,1,0
8715,Prime Doorman Elevator  Huge One Bedroom 5238,Jeremy & Laura,Manhattan,Midtown,40.75609,-73.96684,Entire home/apt,220,30,0,,96,336
8716,Williamsburg Waterfront Apartment,Waad,Brooklyn,Williamsburg,40.72045,-73.96313,Entire home/apt,150,90,0,,1,91
8717,VERY LARGE STUDIO APT BEST LOCATION  IN NYC,Julia,Manhattan,Midtown,40.74197,-73.98328000000001,Entire home/apt,199,30,1,2018-06-27,4,177
8718,Spacious 2 bedroom apt in Bensonhurst - Sleeps 10,Kel,Brooklyn,Bensonhurst,40.60556,-73.99898,Entire home/apt,123,3,3,2019-07-04,2,147
8719,Amazing apartment with your old private bathroom,John,Manhattan,Upper East Side,40.77883,-73.95498,Entire home/apt,185,30,1,2014-09-15,2,365
8720,Sweet Brooklyn digs next to Pratt U (Classon Ave),Joel,Brooklyn,Clinton Hill,40.69388,-73.96200999999999,Entire home/apt,176,5,12,2019-02-07,1,236
8721,Beautiful apartment near the city and the beach!!,Anastasia,Brooklyn,Sheepshead Bay,40.5987,-73.96030999999999,Entire home/apt,110,2,38,2019-07-05,2,294
8722,Comfortable private single room (Queens),Sol,Queens,Middle Village,40.71474,-73.89931,Private room,28,1,21,2019-06-19,1,14
8723,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",Keishera,Brooklyn,Crown Heights,40.67174,-73.95663,Entire home/apt,120,5,104,2019-06-21,1,272
8724,Cozy Bedroom in hip Williamsburg,Javier,Brooklyn,Williamsburg,40.70765,-73.95116,Private room,55,4,13,2016-06-14,2,0
8725,Bright & Spacious Upper Manhattan Apartment!,Devyn,Manhattan,Washington Heights,40.84977,-73.93536,Private room,60,5,16,2019-05-18,1,0
8726,Full Lavish Studio apartment in the heart of NYC,Sajee,Manhattan,Upper East Side,40.76938,-73.96732,Entire home/apt,150,1,2,2017-12-30,1,0
8727,Beautiful 2 BR Apt UES- Min 30 Days,Mor,Manhattan,Upper East Side,40.78318,-73.94556,Entire home/apt,300,30,10,2019-02-28,9,331
8728,Old world oasis of calm nestled in a vibrant hood,James Abordo,Brooklyn,Bedford-Stuyvesant,40.68479,-73.94416,Private room,75,2,0,,1,14
8729,"Private room in Astoria, NY!!",Sarah,Queens,Astoria,40.75568,-73.91578,Private room,250,2,22,2018-01-02,1,123
8730,LES Penthouse,Daniel,Manhattan,Lower East Side,40.71762,-73.98606,Entire home/apt,450,2,0,,1,0
8731,Spacious UES 1 bedroom apartment,Marie,Manhattan,Upper East Side,40.78301,-73.95085,Entire home/apt,165,1,166,2019-06-23,1,210
8732,Central Park South Luxury 3 Bedroom,CRNY Monthly Rentals,Manhattan,Midtown,40.76542,-73.97844,Entire home/apt,249,30,5,2019-02-15,31,125
8733,Beautiful Central 2 Bedroom in Soho!,Alex,Manhattan,SoHo,40.72607,-74.00166,Entire home/apt,299,4,2,2019-05-18,1,156
8734,Private 2 BR Apartment Close to Subway,Pardis,Brooklyn,Bushwick,40.68946,-73.91537,Entire home/apt,150,2,110,2019-06-23,1,152
8735,Park&walk2Boat! See LadyLiberty&DTNY all for free!,James,Staten Island,St. George,40.64118,-74.08400999999999,Private room,100,1,0,,1,0
8736,Lovely stay in a private large room near JFK,Vanessa,Queens,Richmond Hill,40.68146,-73.82285999999999,Private room,66,1,30,2019-06-30,1,131
8737,1 Bedroom apt in the heart of Williamsburg - 2R,Sonia,Brooklyn,Williamsburg,40.7163,-73.95087,Entire home/apt,100,30,4,2018-09-08,4,323
8738,Bright Lower East Side Studio,Alexandra,Manhattan,Lower East Side,40.71808,-73.99146999999999,Entire home/apt,139,2,2,2017-12-05,1,0
8739,Cozy Apartment in the Historic Village of FiDi!,Alicia,Manhattan,Financial District,40.70328,-74.01099,Entire home/apt,180,2,2,2019-06-30,1,295
8740,Queen Sized Bdrm in Historic Harlem (Townhouse),Fiona,Manhattan,Harlem,40.80774,-73.94939000000001,Private room,62,10,4,2019-06-20,3,345
8741,Cozy Retreat in Brooklyn Apartment,Jessica,Brooklyn,Kensington,40.6412,-73.9786,Private room,75,2,8,2014-01-07,1,312
8742,"Master bedroom in sunny, renovated, corner apt",Laura,Brooklyn,Bushwick,40.6951,-73.92898000000001,Private room,78,3,0,,1,105
8743,"Cozy room in a fun, low-key neighb!",Jesse,Brooklyn,Williamsburg,40.7137,-73.94214000000001,Private room,105,14,0,,1,0
8744,Private room in Bushwick Loft,Brad,Brooklyn,Williamsburg,40.70407,-73.93562,Private room,100,1,0,,1,0
8745,Spacious Brooklyn Home w/ Backyard,Erin,Brooklyn,Williamsburg,40.7171,-73.94289,Entire home/apt,350,3,2,2016-01-02,2,0
8746,Charming Bright Apartment Minutes From Manhattan,Kris,Brooklyn,Williamsburg,40.71097,-73.95895,Entire home/apt,110,3,11,2019-06-04,1,90
8747,Pleasant Studio in FiDi by Sonder,Sonder,Manhattan,Financial District,40.70503,-74.00698,Entire home/apt,185,29,0,,96,31
8748,Large Beautiful BedStuy Apartment,Alexandra,Brooklyn,Bedford-Stuyvesant,40.68178,-73.94179,Entire home/apt,200,2,1,2015-10-27,1,0
8749,Brooklyn Flavor,Bev,Brooklyn,Bedford-Stuyvesant,40.68529,-73.92936,Private room,48,3,22,2019-07-03,3,94
8750,Top floor apt in luxury building - lease takeover,Alison,Queens,Rego Park,40.73288,-73.86438000000001,Entire home/apt,108,210,0,,1,270
8751,"Entire 2 Bdrm Duplex Bushwick Brooklyn, Sleeps 6",Fiona,Brooklyn,Bushwick,40.6994,-73.93366999999999,Entire home/apt,120,1,94,2019-07-03,3,240
8752,Bronx Brand New Room #3,Steve,Bronx,Morris Park,40.85361,-73.85018000000001,Private room,85,5,5,2019-05-31,5,365
8753,Modern 2 bedroom apt in Bushwick,Liz,Brooklyn,Bushwick,40.68413,-73.90731,Entire home/apt,150,3,45,2017-09-23,1,129
8754,"Lovely 3 Bedroom, 2 Bath Flatiron Area Loft",C.E.,Manhattan,Flatiron District,40.73994,-73.99005,Entire home/apt,600,5,28,2019-05-26,1,338
8755,Modern Room in Heart of Harlem,Aaron,Manhattan,Harlem,40.81758,-73.94008000000001,Private room,75,2,0,,1,49
8756,2bed Williamsburg Loft w Roof Access + City Views,Ashley,Brooklyn,Williamsburg,40.72059,-73.95846999999999,Entire home/apt,220,3,42,2018-11-04,1,0
8757,Large 2 Bedroom Apt - Close to everything!,Andre,Queens,Ridgewood,40.70028,-73.90785,Entire home/apt,190,3,1,2018-12-30,1,0
8758,Spacious room and private bath in Williamsburg,Mika,Brooklyn,Williamsburg,40.71937,-73.9549,Private room,75,14,1,2019-05-25,1,0
8759,Cozy Harlem Home,Kyle,Manhattan,Harlem,40.81595,-73.9447,Private room,125,1,0,,1,0
8760,"NICE Williamsburg Brooklyn, 2 Bedrooms off L train",Danny,Brooklyn,Williamsburg,40.71165,-73.94708,Entire home/apt,169,5,51,2019-06-02,1,91
8761,"Inviting,sunny grdn 15 min to Manhattan",Freda,Queens,Ditmars Steinway,40.772090000000006,-73.91096,Private room,50,6,11,2019-05-31,8,358
8762,Private 2 Bd Guest House. Great for Quiet Getaway,Eddie,Queens,Rego Park,40.71662,-73.85970999999999,Entire home/apt,140,2,11,2019-06-26,4,335
8763,"1st Floor, Room # 6 (12' x 14')",Aminul,Brooklyn,East New York,40.6697,-73.8954,Private room,40,7,5,2019-06-30,13,247
8764,2 BEDS - INCREDIBLE LOCATION - 1 STOP TO MANHATTAN,Cherri,Brooklyn,Williamsburg,40.71153,-73.96453000000001,Private room,110,2,49,2019-06-24,2,335
8765,Studio close to Manhattan,Hailey,Queens,Astoria,40.767990000000005,-73.91559000000001,Entire home/apt,150,2,0,,1,359
8766,COSY BEDROOM in CITY CENTER,Arkadiy,Manhattan,Hell's Kitchen,40.76499,-73.99266999999999,Private room,140,1,9,2019-06-30,2,0
8767,"Steps to Times Square, Radio City, West 50's",Josh,Manhattan,Hell's Kitchen,40.76638,-73.99013000000001,Entire home/apt,176,4,105,2019-07-01,1,143
8768,"Cozy, 1 bedroom Brownstone Apt",Ashley,Brooklyn,Crown Heights,40.66722,-73.94800000000001,Entire home/apt,75,2,161,2019-06-28,1,183
8769,Private Single Room in UWS near to Central Park,Aaron,Manhattan,Upper West Side,40.80102,-73.96669,Private room,60,1,3,2019-07-02,3,130
8770,Private Room in HOME w/Professionals,Jenny,Brooklyn,Flatbush,40.64066,-73.9664,Private room,45,5,3,2018-07-15,1,0
8771,Your Own Studio in Lower East Side,Sandro,Manhattan,Chinatown,40.71674,-73.98995,Entire home/apt,120,7,1,2016-04-08,2,0
8772,"Clean, Convenient & Calming Space",Carol,Manhattan,Washington Heights,40.85151,-73.93789,Entire home/apt,105,2,0,,1,0
8773,Central Park APT Room,Hongzhi,Manhattan,Upper West Side,40.80127,-73.96166,Private room,72,2,14,2018-10-04,4,0
8774,Bedford Avenue,Ade,Brooklyn,Flatbush,40.65101,-73.95517,Private room,95,3,0,,1,365
8775,Cozy Room in Brooklyn,Noa,Brooklyn,Bedford-Stuyvesant,40.69176,-73.94261,Private room,50,1,0,,1,0
8776,Spacious UES place. Flexible check-in/out. Subway.,Liz,Manhattan,Upper East Side,40.77712,-73.95164,Entire home/apt,155,2,8,2019-06-16,1,0
8777,"Prime loc. Spacious, bright, clean, cozy room",Eduardo,Queens,Jackson Heights,40.75318,-73.88404,Private room,80,2,5,2019-06-27,1,157
8778,Luxury Hi-End Brooklyn Brownstone with backyard,Ek,Brooklyn,Bay Ridge,40.632940000000005,-74.0273,Entire home/apt,595,1,4,2019-07-07,1,57
8779,Brooklyn Duplex with Terrace near Park,Nick,Brooklyn,Crown Heights,40.68055,-73.96425,Entire home/apt,200,30,4,2019-04-15,1,4
8780,"Elegant, Mid Century Modern Apt (Private Room)",Alimah,Brooklyn,Bedford-Stuyvesant,40.68313,-73.92833,Private room,70,1,5,2019-06-21,2,111
8781,Luxurious sunny loft in the heart of Williamsburg,V,Brooklyn,Williamsburg,40.717690000000005,-73.96339,Entire home/apt,300,3,20,2019-06-09,4,318
8782,Chic and spacious 2 bedroom 19 min to Penn Station,Barbara,Queens,Long Island City,40.75337,-73.93355,Entire home/apt,95,2,57,2019-06-30,2,53
8783,Cozy yellow room,Hali,Queens,Astoria,40.76964,-73.91559000000001,Private room,44,1,14,2018-03-13,1,0
8784,Cozy room in the heart of Astoria,Hebert,Queens,Astoria,40.75927,-73.9092,Private room,55,1,94,2019-04-16,2,0
8785,Spacious sunny one bedroom apartment with balcony,Assaf,Brooklyn,Williamsburg,40.71106,-73.94884,Entire home/apt,160,5,15,2019-05-17,1,83
8786,Single room in apartment share,Sean,Manhattan,Upper West Side,40.79807,-73.96894,Private room,80,1,1,2015-11-03,1,0
8787,Historic Landmark Neighborhood - Upper East Side,Chi,Manhattan,Upper East Side,40.78612,-73.95359,Private room,105,3,29,2019-06-30,1,75
8788,New Yorker sunny top floor loft,Viktor,Manhattan,Harlem,40.82812,-73.94219,Entire home/apt,200,30,0,,1,180
8789,Lovely bedroom,Yone,Queens,Astoria,40.76737,-73.91244,Private room,70,2,26,2019-05-22,1,128
8790,"UWS Charmer, Central Park/Lincoln Center",Tina,Manhattan,Upper West Side,40.77627,-73.98080999999999,Entire home/apt,325,3,70,2019-05-26,1,71
8791,Room to rent for Couple specially tourists !,Jean,Brooklyn,Bushwick,40.69155,-73.90595,Private room,200,1,0,,1,365
8792,Gorgeous 2-Level East Village Apt (2 Bed/1.5 Bath),Erin,Manhattan,East Village,40.73103,-73.98233,Entire home/apt,299,2,21,2019-06-11,2,2
8793,Massive apt in prime Williamsburg,Ali,Brooklyn,Williamsburg,40.714,-73.96395,Entire home/apt,175,3,105,2019-06-19,1,104
8794,Bright 3 bd/ 2 bath on the park.,Mac,Brooklyn,Windsor Terrace,40.65246,-73.97369,Entire home/apt,150,6,0,,1,0
8795,In_Manhattan+1 Small Block to train,Chris,Manhattan,Inwood,40.862840000000006,-73.91955,Private room,55,4,142,2019-06-03,2,179
8796,-Luxury NYC 1 Bedroom nearby Theater District!,Kara,Manhattan,Hell's Kitchen,40.76216,-73.99775,Entire home/apt,235,30,1,2017-08-02,121,365
8797,"Newly renovated, fully furnished room in Brooklyn",Katie,Brooklyn,Bushwick,40.699740000000006,-73.91935,Private room,10,5,0,,1,0
8798,Charming Studio in Prospect Heights,Miriam,Brooklyn,Prospect Heights,40.678740000000005,-73.96842,Entire home/apt,150,1,1,2015-09-24,1,0
8799,"i call it home, you'll call it home.",Mimie,Bronx,Tremont,40.84559,-73.89815,Private room,41,7,22,2019-06-24,2,68
8800,An urban nest; 7 minutes from Central Park,Christina,Manhattan,Upper East Side,40.7758,-73.95472,Entire home/apt,200,5,11,2016-11-27,2,0
8801,Quiet and Sunny bedroom @Williamsburg bedford,Nicolas,Brooklyn,Williamsburg,40.71576,-73.95586,Private room,70,2,3,2016-08-31,1,0
8802,Captivating rooftop apartment,Luke,Manhattan,Chinatown,40.71611,-73.99539,Entire home/apt,180,1,0,,1,0
8803,Naturally Lit/ Cozy & Cute Studio in Flatbush,Taylor,Brooklyn,Flatbush,40.635740000000006,-73.95129,Entire home/apt,90,3,7,2019-06-11,1,5
8804,Elegant Brooklyn Heights 2 BR Apt,John,Brooklyn,Brooklyn Heights,40.69162,-73.99252,Entire home/apt,250,30,6,2016-07-31,1,0
8805,Unique 2BR Apartment,Nick,Queens,Long Island City,40.74226,-73.94999,Entire home/apt,151,2,87,2019-07-05,1,17
8806,UNIQUE 1 BED ROOM in FLATIRON/NOMAD/GRAMERCY,Colette,Manhattan,Midtown,40.74238,-73.98439,Entire home/apt,91,2,1,2018-01-02,1,0
8807,Akouaba,Adama,Bronx,Belmont,40.85267,-73.88627,Private room,50,2,51,2019-07-06,1,325
8808,"Shared Spaces;Safe,Great Location 15 to Times Sq",Baboucarr,Queens,Sunnyside,40.73883,-73.92698,Shared room,30,3,2,2019-06-24,12,327
8809,Sunny loft-  private room & private living-room,Carissa,Brooklyn,Red Hook,40.67897,-74.00587,Private room,45,2,17,2019-06-29,1,87
8810,Authentic Brklyn Experience - Room A,Tia,Brooklyn,Canarsie,40.64963,-73.89817,Private room,65,4,8,2018-02-17,4,37
8811,All the restaurants and bars you can ask for,Amaree,Bronx,Throgs Neck,40.82807,-73.82418,Entire home/apt,80,1,0,,1,1
8812,Tu Tranquilidad no tiene precio,Ana Maria,Queens,Ditmars Steinway,40.77134,-73.91328,Private room,52,1,5,2019-05-23,2,188
8813,YOUR HOME FOR THE HOLIDAY,Chris,Manhattan,Washington Heights,40.85139,-73.93722,Entire home/apt,150,6,0,,1,0
8814,Charming Brownstone w/Backyard,Sachea,Brooklyn,Bedford-Stuyvesant,40.67909,-73.93222,Entire home/apt,140,2,33,2019-06-09,1,145
8815,Sunny Manhattan Apt  (week / month discounts),Justin,Manhattan,Harlem,40.8085,-73.94113,Private room,75,14,4,2019-07-01,2,184
8816,Studio in Midtown West,Jeniffer,Manhattan,Hell's Kitchen,40.76502,-73.99277,Entire home/apt,90,30,11,2019-05-01,31,223
8817,Small and cozy room in awesome place,Suri,Brooklyn,Sunset Park,40.65907,-73.99887,Private room,150,1,1,2019-03-19,3,365
8818,private room,Ahmet,Brooklyn,Bensonhurst,40.61208,-74.00180999999999,Shared room,15,10,0,,2,0
8819,"Huge, Sumptuous En-Suite Bedroom",Zoe,Brooklyn,Williamsburg,40.71454,-73.95894,Private room,125,3,1,2015-10-27,1,0
8820,Upper West Side Oasis,Connor,Manhattan,Upper West Side,40.7807,-73.97869,Entire home/apt,200,4,2,2018-01-02,1,0
8821,Spacious garden appartment brooklyn,Bernard,Brooklyn,Prospect Heights,40.68099,-73.97446,Entire home/apt,120,5,145,2019-07-01,1,0
8822,Heavenly Hell's Kitchen 2 bedroom,James,Manhattan,Hell's Kitchen,40.75546,-73.99701,Entire home/apt,189,5,9,2018-07-15,2,0
8823,Amazing 2 BR apt in West Village,Joakim,Manhattan,West Village,40.73053,-74.00296999999999,Entire home/apt,250,3,3,2019-06-03,1,16
8824,"""Simple Perfect Soho""",Jennifer,Manhattan,Nolita,40.72278,-73.9967,Entire home/apt,225,2,244,2019-07-01,2,252
8825,Luxury Apartment by Time Square,Nickie,Manhattan,Theater District,40.7599,-73.98541999999999,Private room,200,1,1,2015-10-13,2,0
8826,Modern 2 bedroom apartment close to subway,Tri,Manhattan,East Harlem,40.80481,-73.93812,Entire home/apt,120,1,3,2018-03-18,2,0
8827,MANHATTAN studio 10 minutes away from Central Park,Paul,Manhattan,Upper East Side,40.76672,-73.96110999999999,Entire home/apt,129,1,23,2019-06-21,1,109
8828,Ensuite Redroom,Memo & Iso,Brooklyn,Bedford-Stuyvesant,40.68403,-73.93641,Private room,35,1,162,2019-06-20,5,162
8829,Spacious studio in NEW apt building in Astoria,Melanie,Queens,Astoria,40.76764,-73.9279,Entire home/apt,125,25,5,2016-11-14,1,0
8830,Luxurious studio,Svetlana,Manhattan,Midtown,40.758,-73.97906,Entire home/apt,250,30,0,,1,0
8831,"Charming 2 Bedroom, Your Cozy Brooklyn Homebase!",Dawn,Brooklyn,Clinton Hill,40.69444,-73.9669,Entire home/apt,115,2,4,2019-06-24,1,46
8832,Plant & pet-friendly LOFT in the UWS,Melissa,Manhattan,Upper West Side,40.779720000000005,-73.97870999999999,Private room,97,3,7,2019-03-18,2,0
8833,Artsy Private Bedroom in UWS - Near Columbia U!,Eyal,Manhattan,Upper West Side,40.79972,-73.96106999999999,Private room,60,30,0,,32,342
8834,Extra Cozy Room in Center of Williamsburg,Brian,Brooklyn,Williamsburg,40.71404,-73.95783,Private room,98,1,3,2017-01-01,1,0
8835,Lincoln Center Studio,Christopher,Manhattan,Upper West Side,40.77562,-73.98756,Entire home/apt,1066,1,2,2019-01-01,1,365
8836,"BedStuy Fly, a relaxing retreat.",Samita,Brooklyn,Bedford-Stuyvesant,40.68695,-73.92947,Entire home/apt,135,3,8,2015-09-10,1,0
8837,GET COSY IN WILLIAMSBURG...,Rory,Brooklyn,Williamsburg,40.70491,-73.94268000000001,Entire home/apt,110,3,3,2015-05-30,1,0
8838,"Charming UWS 1-bedroom, 1 block from Central Park!",Cyndi,Manhattan,Upper West Side,40.77669,-73.9789,Entire home/apt,200,3,1,2018-05-26,1,16
8839,"Quiet, Secure, Clean and very Private Apartment",Hardy,Bronx,Williamsbridge,40.87938,-73.86349,Entire home/apt,500,2,19,2018-11-05,1,345
8840,NEW RENO HUGE PRIVATE BED&BATH PLUS TERRACE,Anna,Queens,Long Island City,40.755590000000005,-73.9208,Private room,95,2,62,2019-07-01,1,118
